hostname,IP,Interface,Date Time,rxpck/s,txpck/s,rxkB/s,txkB/s
r8,192.168.219.111,4.18.0-553.78.1.el8_10.x86_64,2025-11-08 Linux,0.00,11.00,0.00,0.00
r8,192.168.219.111,,2025-11-08 ,0.00,0.00,0.00,0.00
r8,192.168.219.111,eth0,2025-11-08 00:10:02,2.18,0.01,0.29,0.00
r8,192.168.219.111,eth0,2025-11-08 00:20:02,1.68,0.01,0.19,0.00
r8,192.168.219.111,eth0,2025-11-08 00:30:03,1.44,0.01,0.17,0.00
r8,192.168.219.111,eth0,2025-11-08 00:40:04,1.38,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-08 00:50:04,1.60,0.01,0.17,0.00
r8,192.168.219.111,eth0,2025-11-08 01:00:05,1.41,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-08 07:04:21,1.42,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-08 07:10:03,238.16,84.37,349.61,5.53
r8,192.168.219.111,eth0,2025-11-08 07:20:03,1.44,0.01,0.19,0.00
r8,192.168.219.111,eth0,2025-11-08 07:30:04,1.20,0.01,0.15,0.00
r8,192.168.219.111,eth0,2025-11-08 07:40:05,2.05,0.23,0.42,0.07
r8,192.168.219.111,eth0,2025-11-08 07:50:05,1.44,0.01,0.19,0.00
r8,192.168.219.111,eth0,2025-11-08 08:00:06,1.12,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-08 08:10:07,1.66,0.01,0.25,0.00
r8,192.168.219.111,eth0,2025-11-08 08:20:07,0.98,0.01,0.11,0.00
r8,192.168.219.111,eth0,2025-11-08 08:30:08,1.79,0.01,0.29,0.00
r8,192.168.219.111,eth0,2025-11-08 08:40:09,1.52,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-08 08:50:10,1.58,0.01,0.23,0.00
r8,192.168.219.111,eth0,2025-11-08 09:00:00,1.84,0.03,0.31,0.01
r8,192.168.219.111,eth0,2025-11-08 09:10:01,1.10,0.01,0.13,0.00
r8,192.168.219.111,eth0,2025-11-08 09:20:02,2.34,0.01,0.41,0.00
r8,192.168.219.111,eth0,2025-11-08 09:30:02,1.09,0.01,0.12,0.00
r8,192.168.219.111,eth0,2025-11-08 09:40:03,1.38,0.01,0.19,0.00
r8,192.168.219.111,eth0,2025-11-08 09:50:03,1.07,0.01,0.13,0.00
r8,192.168.219.111,eth0,2025-11-08 10:00:04,1.57,0.03,0.24,0.01
r8,192.168.219.111,eth0,2025-11-08 10:10:05,1.48,0.01,0.22,0.00
r8,192.168.219.111,eth0,2025-11-08 10:20:05,1.38,0.01,0.18,0.00
r8,192.168.219.111,eth0,2025-11-08 10:30:06,1.50,0.01,0.21,0.00
r8,192.168.219.111,eth0,2025-11-08 10:40:07,1.29,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-08 10:50:07,1.78,0.01,0.27,0.00
r8,192.168.219.111,eth0,2025-11-08 11:00:08,1.14,0.01,0.13,0.00
r8,192.168.219.111,eth0,2025-11-08 11:10:09,1.74,0.19,0.33,0.04
r8,192.168.219.111,eth0,2025-11-08 11:20:09,1.41,0.25,0.21,0.05
r8,192.168.219.111,eth0,2025-11-08 11:30:00,1.73,0.35,0.24,0.08
r8,192.168.219.111,eth0,2025-11-08 11:40:01,1.79,0.51,0.36,0.14
r8,192.168.219.111,eth0,2025-11-08 11:50:01,1.26,0.01,0.15,0.00
r8,192.168.219.111,eth0,2025-11-08 12:00:02,1.34,0.01,0.17,0.00
r8,192.168.219.111,eth0,2025-11-08 12:10:03,1.39,0.01,0.16,0.00
r8,192.168.219.111,eth0,2025-11-08 12:20:03,1.46,0.01,0.18,0.00
r8,192.168.219.111,eth0,2025-11-08 12:30:04,1.46,0.01,0.15,0.00
r8,192.168.219.111,eth0,2025-11-08 12:40:05,1.34,0.01,0.18,0.00
r8,192.168.219.111,eth0,2025-11-08 12:50:05,1.27,0.06,0.18,0.01
r8,192.168.219.111,eth0,2025-11-08 13:00:06,1.30,0.10,0.17,0.02
r8,192.168.219.111,eth0,2025-11-08 13:10:07,1.78,0.24,0.19,0.02
r8,192.168.219.111,eth0,2025-11-08 13:20:07,1.35,0.01,0.13,0.00
r8,192.168.219.111,eth0,2025-11-08 13:30:08,1.35,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-08 13:40:08,1.35,0.01,0.14,0.00
r8,192.168.219.111,eth0,2025-11-08 13:50:09,1.82,0.13,0.20,0.02
